Fecha Inicio ,Fecha Fin,Nombre,Syncs
2026-01-22,2026-01-22,VIRAL_DEAL_GRUPOMODELO_220126,"13692,4939,9705,6344,7857,8189,5314,8042,9039"
2026-01-29,2026-01-30,VIRAL_DEAL_GEPP_29-300126,"8161,8939,12111,11908,12104,83642"
2026-02-02,2026-02-03,VIRAL_DEAL_SANRAFAEL_020226,"11018,13274,74614,71912,72285"
2026-02-05,2026-02-09,VIRAL_DEAL_BACHOCO_05-080226,"83600,12329,14192,83610"
2026-02-06,2026-02-06,VIRAL_DEAL_BARCEL_060226,"15301,72501,81480,10606,9063,9411"
2026-02-07,2026-02-09,VIRAL_DEAL_GUACAMOLE_070226,"81998,14946,14693,82058,82383"
2026-02-13,2026-02-15,VIRAL_DEAL_HERSHEYS_13-140226,"73519,73518,12079,76575,4787,76318,76319,76575,76321,76322"
2026-02-13,2026-02-15,VIRAL_DEAL_FLORES_13-140226,"89424,89425,89428,89427,89426"
2026-02-14,2026-02-14,VIRAL_DEAL_CONDONES_140226,"2915,10883,14576,10608,12030,14101,1885,7354,6974,11253,7416"
2026-02-16,2026-02-16,VIRAL_DEAL_ENABLER_160226,"11705,10438,10375,7352,72860,72859"
2026-02-20,2026-02-20,VIRAL_DEAL_MADRILEÑA_190226,"5747,14086,11671,11629,13148"
2026-02-24,2026-02-24,VIRAL_DEAL_FRUVER_230226,"81993,82129,72931,82050,82049"
2026-02-28,2026-02-28,VIRAL_DEAL_HEINEKEN_280226,"8770,8524,9713,7449"
2026-03-05,2026-03-05,VIRAL_DEAL_GRANEL_050326,"83016,87047,87050,86755,86768,83017"
2026-03-07,2026-03-07,VIRAL_DEAL_BIMBO_070326,"5318,13139,12664,4027,6825,7849,13830"
2026-03-12,2026-03-12,VIRAL_DEAL_GALLETAS_120326,"13979,6221,80162"
2026-03-13,2026-03-13,VIRAL_DEAL_Kimberly_130326,"9687,71801,9986"
2026-03-10,2026-03-10,VIRAL_DEAL_DANONE_100326,"8277,11576,13409,73841,13431"
2026-03-18,2026-03-18,VIRAL_DEAL_Silk_180326,"10820,10721,4699,11439,12290"
2026-03-20,2026-03-20,VIRAL_DEAL_Diageo_200326,"6867,9639,7985,10540"
2026-03-21,2026-03-21,VIRAL_DEAL_FLORESAMARILLAS_210326,"90296,90297,90295"
2026-03-25,2026-03-25,VIRAL_DEAL_Modelo_200326,"7857,5314,13692,86168"
2026-03-26,2026-03-26,VIRAL_DEAL_Bokados_240326,"14719,81212,14357,11142,81214,14756,81246,82243,81221,10906"
2026-03-28,2026-03-28,VIRAL_DEAL_Artesanales_280326,"4818,13570,4793,4805,86362,86363,86364,12827,13126"
2026-03-31,2026-03-31,VIRAL_DEAL_Instance_310326,"4185,76143,2153,72363,76142,76636"
2026-04-01,2026-04-01,VIRAL_DEAL_Fruver_300326,"14946,14375,14370,14919,82058,81998,12645,9518"
2026-04-09,2026-04-09,VIRAL_DEAL_ALPURA_090426,"6549,6981"
2026-04-11,2026-04-11,VIRAL_DEAL_HUEVO_110426,"5877,12616,5543"
2026-04-14,2026-04-14,VIRAL_DEAL_Fruver_140426,"81993,76544,82049,72931,82059"
2026-04-15,2026-04-15,VIRAL_DEAL_SCJ_150426,"81726,85035"
2026-04-16,2026-04-16,VIRAL_DEAL_Holanda_160426,"6579,8944,71550"
2026-04-17,2026-04-17,VIRAL_DEAL_PB_170426,"73482,80161,73481"
2026-04-18,2026-04-18,VIRAL_DEAL_MIMOSAS_180426,"12456,9629,9159,83627"
2026-04-22,2026-04-22,VIRAL_DEAL_PETS_220426,"82205,83458,82200,83659"
2026-04-24,2026-04-24,VIRAL_DEAL_WeCare_240426,"72977,72981,72978"
2026-04-25,2026-04-25,VIRAL_DEAL_Mezcales_250426,"83559,83560,8510"
2026-04-26,2026-04-26,VIRAL_DEAL_P&G_260426,"9248,74299,85712"
2026-04-27,2026-04-27,VIRAL_DEAL_Gepp_270426,"8161,8939,12104,12111,83639"
2026-04-29,2026-04-29,VIRAL_DEAL_MODELO_290426,"13692,86167,83819"
2026-04-30,2026-04-30,VIRAL_DEAL_GRANEL_300426,"87047,86768,87055,86778,87062"
2026-05-01,2026-05-01,VIRAL_DEAL_SICO_010526,"12030,10439,3860,14101,7560"
2026-05-02,2026-05-02,VIRAL_DEAL_Bachoco_280426,14192
